player
AM Ghazanfar
Aakash Chopra
Aaron James Finch
Aavishkar Madhav Salvi
Abdul Samad Farooq
Abdur Razzak
Abhijeet Tomar
Abhimanyu Mithun
Abhinandan Singh
Abhinav Manohar
Abhinav Mukund
Abhishek Arunkumar Jhunjhunwala
Abhishek Mohan Nayar
Abhishek Santosh Raut
Abhishek Sharma
Abishek Porel
Abraham Benjamin de Villiers
Abrar Anjum Kazi
Abu Nechim Ahmed
Adam Charles Voges
Adam Craig Gilchrist
Adam Fraser Milne
Adam Zampa
Adil Usman Rashid
Aditya Pradip Dole
Aditya Prakash Tare
Adrian Boris Barath
Adrian Dimitri Mascarenhas
Aiden Craig Blizzard
Aiden Kyle Markram
Ajinkya Madhukar Rahane
Ajit  Chandila
Ajit Bhalchandra Agarkar
Akash Deep
Akash Madhwal
Akash Maharaj Singh
Akeal Jerome Hosein
Akshdeep Deependra Nath
Alex Tyson Carey
Alexander Daniel Hales
Alfonso Clive Thomas
Ali Ghulam Murtaza
Alzarri Shaheim Joseph
Aman Hakim Khan
Ambati Thirupathi Rayudu
Amit Gajanan Paunikar
Amit Mishra
Amit Singh
Amit Uniyal
Ammana Ashish Reddy
Anand Rajan
Andre Dwayne Russell
Andre Nel
Andrew Barry McDonald
Andrew Flintoff
Andrew James Tye
Andrew Symonds
Angelo Davis Mathews
Angkrish Raghuvanshi
Aniket Verma
Aniket Vinod Choudhary
Anil Kumble
Anirudh Singh
Ankeet Anil Chavan
Ankit Nagendra Sharma
Ankit Ramdas Bawne
Ankit Singh Rajpoot
Ankit Soni
Anmolpreet Singh
Anrich Arno Nortje
Anshul Kamboj
Anuj Rawat
Anukul Sudhakar Roy
Anustup Prabir Majumdar
Arindam Nanigopal Ghosh
Arjun Sachin Tendulkar
Arjun Shivlal Yadav
Arshad Khan
Arshdeep Singh
Arshin Kulkarni
Asad Ullah Khan Pathan
Ashish Nehra
Ashley Allan Noffke
Ashok Bhimchandra Dinda
Ashok Lakshminarayan Menaria
Ashok Sharma
Ashton James Turner
Ashutosh Sharma
Ashwani Kumar
Atharva Taide
Auqib Nabi
Avesh Khan
Axar Rajeshbhai Patel
Ayush Badoni
Ayush Mhatre
Azhar Mahmood Sagar
Azharuddin Anjum Bilakhia
Azmatullah Omarzai
Baba Indrajith
Balachandra Akhil
Balapuwaduge Ajantha Winslow Mendis
